DATA_YEAR,NIBRS_MONTH_ID,AGENCY_ID,MONTH_NUM,,,
2018,8364329,6419,6,,,
2018,8364330,6419,7,,,
2018,8364331,6419,8,,,
2018,8437296,6419,9,,,
2018,8435968,6419,10,,,
2018,8436102,6419,11,,,
2018,8436103,6419,12,,,
2018,7925788,6223,1,,,
2018,7954022,6223,2,,,
2018,7978173,6223,3,,,
2018,7978174,6223,4,,,
2018,8368804,6223,5,,,
2018,8362377,6223,6,,,
2018,8362378,6223,7,,,
2018,8368805,6223,8,,,
2018,8435928,6223,9,,,
2018,8436008,6223,10,,,
2018,8479686,6223,11,,,
2018,8436066,6223,12,,,
2018,8915510,6178,1,,,
2018,7980004,6178,2,,,
2018,7980008,6178,3,,,
2018,8364393,6178,4,,,
2018,8364394,6178,5,,,
2018,8362567,6178,6,,,
2018,8914515,6178,7,,,
2018,8433864,6178,8,,,
2018,8915514,6178,9,,,
2018,8575183,6178,10,,,
2018,8479977,6178,11,,,
2018,8695728,6178,12,,,
2018,7996099,27413,1,,,
2018,8435986,27413,2,,,
2018,7980050,27413,3,,,
2018,8771306,27413,4,,,
2018,8575207,27413,5,,,
2018,8364429,27413,6,,,
2018,8368943,27413,7,,,
2018,8479993,27413,8,,,
2018,8435984,27413,9,,,
2018,8575210,27413,10,,,
2018,8479992,27413,11,,,
2018,7835036,26902,1,,,
2018,7924661,26902,2,,,
2018,7953480,26902,3,,,
2018,7994546,26902,4,,,
2018,7994548,26902,5,,,
2018,8364032,26902,6,,,
2018,8368709,26902,7,,,
2018,8362272,26902,8,,,
2018,8437167,26902,9,,,
2018,8437405,26902,10,,,
2018,8479644,26902,11,,,
2018,8479645,26902,12,,,
2018,7955167,6441,1,,,
2018,8915624,6441,2,,,
2018,7996086,6441,3,,,
2018,7996084,6441,4,,,
2018,8575202,6441,5,,,
2018,8364422,6441,6,,,
2018,8364420,6441,7,,,
2018,8364421,6441,8,,,
2018,8436037,6441,9,,,
2018,8579877,6441,10,,,
2018,8579876,6441,11,,,
2018,8694530,6441,12,,,
2018,7955151,6423,1,,,
2018,7979995,6423,2,,,
2018,7979997,6423,3,,,
2018,7996058,6423,4,,,
2018,8364385,6423,5,,,
2018,8362562,6423,6,,,
2018,8362563,6423,7,,,
2018,8433862,6423,8,,,
2018,8437393,6423,9,,,
2018,8479973,6423,10,,,
2018,8479972,6423,11,,,
2018,8694523,6423,12,,,
2018,7835026,26901,1,,,
2018,7924653,26901,2,,,
2018,7953470,26901,3,,,
2018,7977669,26901,4,,,
2018,7994541,26901,5,,,
2018,8362262,26901,6,,,
2018,8364022,26901,7,,,
2018,8364024,26901,8,,,
2018,8437161,26901,9,,,
2018,8437344,26901,10,,,
2018,8436047,26901,11,,,
2018,8575515,26901,12,,,
2018,7835037,6497,1,,,
2018,7953477,6497,2,,,
2018,7977670,6497,3,,,
2018,7994544,6497,4,,,
2018,7994547,6497,5,,,
2018,8364028,6497,6,,,
2018,8364030,6497,7,,,
2018,8364031,6497,8,,,
2018,8433712,6497,9,,,
2018,8437409,6497,10,,,
2018,8437407,6497,11,,,
2018,8574771,6497,12,,,
2018,8915606,6438,1,,,
2018,8915608,6438,2,,,
2018,8914608,6438,3,,,
2018,8915614,6438,4,,,
2018,8914610,6438,5,,,
2018,8914612,6438,6,,,
2018,8914615,6438,7,,,
2018,8914617,6438,8,,,
2018,8915620,6438,9,,,
2018,8914620,6438,10,,,
2018,8914624,6438,11,,,
2018,8915627,6438,12,,,
2018,7836465,6409,1,,,
2018,7927038,6409,2,,,
2018,7955037,6409,3,,,
2018,7978570,6409,4,,,
2018,7995946,6409,5,,,
2018,8362494,6409,6,,,
2018,8362495,6409,7,,,
2018,8368870,6409,8,,,
2018,8437290,6409,9,,,
2018,8437291,6409,10,,,
2018,8433937,6409,11,,,
2018,7835064,6498,1,,,
2018,7924685,6498,2,,,
2018,7953901,6498,3,,,
2018,7977696,6498,4,,,
2018,7994566,6498,5,,,
2018,8368715,6498,6,,,
2018,8364046,6498,7,,,
2018,8368716,6498,8,,,
2018,8437169,6498,9,,,
2018,8435993,6498,10,,,
2018,8436057,6498,11,,,
2018,8575522,6498,12,,,
2018,7836559,6493,1,,,
2018,7927168,6493,2,,,
2018,7979994,6493,3,,,
2018,7979996,6493,4,,,
2018,7996057,6493,5,,,
2018,8364383,6493,6,,,
2018,8362561,6493,7,,,
2018,8368911,6493,8,,,
2018,8435978,6493,9,,,
2018,8437316,6493,10,,,
2018,8437508,6493,11,,,
2018,8437509,6493,12,,,
2018,8914628,6443,1,,,
2018,8915633,6443,2,,,
2018,8915636,6443,3,,,
2018,7980041,6443,4,,,
2018,7996090,6443,5,,,
2018,8915638,6443,6,,,
2018,8369597,6443,7,,,
2018,8914631,6443,8,,,
2018,8433867,6443,9,,,
2018,8914633,6443,10,,,
2018,8479985,6443,11,,,
2018,8996284,6443,12,,,
2018,7841810,6157,1,,,
2018,7978090,6157,2,,,
2018,7978092,6157,3,,,
2018,7994644,6157,4,,,
2018,8362343,6157,5,,,
2018,8364098,6157,6,,,
2018,8364100,6157,7,,,
2018,8364099,6157,8,,,
2018,8437364,6157,9,,,
2018,8437363,6157,10,,,
2018,8574787,6157,11,,,
2018,8479674,6157,12,,,
2018,8915616,6440,1,,,
2018,8915618,6440,2,,,
2018,8915621,6440,3,,,
2018,8915623,6440,4,,,
2018,8914623,6440,5,,,
2018,8915625,6440,6,,,
2018,8915628,6440,7,,,
2018,8915630,6440,8,,,
2018,8914627,6440,9,,,
2018,8766998,6440,10,,,
2018,8915632,6440,12,,,
2018,7980049,25853,1,,,
2018,7980052,25853,2,,,
2018,7980054,25853,3,,,
2018,8479989,25853,4,,,
2018,8915476,25853,5,,,
2018,8914482,25853,6,,,
2018,8369602,25853,7,,,
2018,8915480,25853,8,,,
2018,8436040,25853,9,,,
2018,8479991,25853,10,,,
2018,8479990,25853,11,,,
2018,8620953,25853,12,,,
2018,7955155,6188,1,,,
2018,7980003,6188,2,,,
